Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.74      0.28     0.28      132     2.12     2.12  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
 17.04      0.51     0.23    20584     0.01     0.01  ns3::Time::~Time()
  9.63      0.64     0.13      132     0.98     0.98  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  8.52      0.76     0.12  6514126     0.00     0.00  ns3::AtomicCounter::operator--(int)
  4.81      0.82     0.07  4258104     0.00     0.00  ns3::AtomicCounter::operator++(int)
  4.81      0.89     0.07                             ns3::operator+(ns3::Time const&, ns3::Time const&)
  3.70      0.94     0.05     3844     0.01     0.01  int&& std::forward<int>(std::remove_reference<int>::type&)
  2.96      0.97     0.04  7921693     0.00     0.00  ns3::Time::Time(long)
  2.96      1.01     0.04  4258104     0.00     0.00  ns3::AtomicCounter::operator unsigned int() const
  2.59      1.05     0.04   170421     0.00     0.00  ns3::Time::PeekInformation(ns3::Time::Unit)
  2.22      1.08     0.03 12609642     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  2.22      1.11     0.03      796     0.04     0.04  ns3::Time::Time(unsigned long)
  1.48      1.13     0.02    22812     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  1.48      1.15     0.02      916     0.02     0.02  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned long>, true>::_M_cget() const
  0.74      1.16     0.01  4258104     0.00     0.00  std::numeric_limits<unsigned int>::max()
  0.74      1.17     0.01  3904313     0.00     0.00  ns3::SimpleRefCount<ns3::Object, ns3::ObjectBase, ns3::ObjectDeleter>::Unref() const
  0.74      1.18     0.01   511695     0.00     0.00  ns3::QbbNetDevice* ns3::PeekPointer<ns3::QbbNetDevice>(ns3::Ptr<ns3::QbbNetDevice> const&)
  0.74      1.19     0.01   185258     0.00     0.00  ns3::Ptr<ns3::Node>::~Ptr()
